rank,instructor_id,n_batches,n_courses,avg_completion_rate,avg_dropout_rate,avg_score_improvement,avg_quiz_score,avg_watch_time,avg_assignment_sub_rate,avg_forum_activity,avg_feedback_score,avg_feedback_response_rate,effectiveness_score,tier
28,I_066,16,11,0.749,0.284,29.267,84.287,0.768,0.815,0.257,4.287,0.801,0.644,Tier 1 – Highly Effective
29,I_085,16,14,0.691,0.297,28.409,81.19,0.813,0.778,0.26,4.321,0.782,0.643,Tier 1 – Highly Effective
30,I_084,13,8,0.677,0.323,27.943,78.65,0.829,0.775,0.254,4.249,0.758,0.626,Tier 1 – Highly Effective
31,I_096,17,13,0.666,0.317,26.451,78.556,0.835,0.77,0.267,4.375,0.72,0.625,Tier 1 – Highly Effective
32,I_090,26,17,0.68,0.319,28.648,81.702,0.787,0.725,0.282,4.337,0.781,0.624,Tier 1 – Highly Effective
33,I_117,19,11,0.692,0.312,28.431,80.982,0.793,0.814,0.265,4.306,0.714,0.623,Tier 1 – Highly Effective
34,I_049,17,13,0.638,0.352,29.072,80.225,0.808,0.778,0.279,4.223,0.793,0.619,Tier 1 – Highly Effective
35,I_082,14,12,0.626,0.376,29.667,81.438,0.788,0.776,0.245,4.315,0.799,0.613,Tier 1 – Highly Effective
36,I_017,24,18,0.638,0.353,26.654,82.575,0.796,0.718,0.258,4.442,0.764,0.613,Tier 1 – Highly Effective
37,I_048,13,12,0.614,0.381,27.027,81.966,0.785,0.732,0.296,4.333,0.824,0.608,Tier 1 – Highly Effective
38,I_054,19,12,0.677,0.32,26.873,75.979,0.806,0.787,0.253,4.323,0.757,0.605,Tier 1 – Highly Effective
39,I_008,20,14,0.638,0.351,28.342,79.387,0.805,0.748,0.267,4.316,0.79,0.604,Tier 1 – Highly Effective
40,I_055,17,13,0.613,0.365,30.088,78.07,0.816,0.715,0.267,4.295,0.795,0.6,Tier 1 – Highly Effective
41,I_033,26,14,0.63,0.377,28.612,82.283,0.851,0.778,0.265,4.078,0.758,0.594,Tier 1 – Highly Effective
42,I_109,23,14,0.663,0.346,29.845,80.386,0.784,0.751,0.234,4.229,0.795,0.58,Tier 2 – Moderately Effective
43,I_043,10,9,0.658,0.354,27.842,80.81,0.78,0.718,0.273,4.35,0.742,0.578,Tier 2 – Moderately Effective
44,I_097,18,13,0.651,0.358,28.559,77.619,0.778,0.801,0.245,4.247,0.757,0.573,Tier 2 – Moderately Effective
45,I_062,31,19,0.612,0.388,27.204,79.459,0.804,0.762,0.24,4.308,0.746,0.569,Tier 2 – Moderately Effective
46,I_111,22,14,0.627,0.383,27.589,78.53,0.811,0.793,0.245,4.152,0.763,0.568,Tier 2 – Moderately Effective
47,I_040,18,13,0.638,0.365,28.608,80.595,0.789,0.823,0.238,4.162,0.733,0.567,Tier 2 – Moderately Effective
48,I_057,17,14,0.633,0.377,27.71,80.082,0.783,0.756,0.263,4.21,0.749,0.564,Tier 2 – Moderately Effective
49,I_079,9,9,0.676,0.324,27.774,78.476,0.722,0.738,0.269,4.358,0.708,0.549,Tier 2 – Moderately Effective
50,I_016,18,12,0.631,0.39,27.343,80.186,0.782,0.813,0.256,4.077,0.721,0.545,Tier 2 – Moderately Effective
51,I_092,26,18,0.614,0.381,26.79,77.311,0.802,0.707,0.233,4.331,0.744,0.543,Tier 2 – Moderately Effective
52,I_069,16,12,0.597,0.429,25.648,76.444,0.798,0.794,0.208,4.264,0.806,0.541,Tier 2 – Moderately Effective
53,I_009,18,12,0.654,0.364,26.983,73.975,0.744,0.774,0.241,4.356,0.757,0.54,Tier 2 – Moderately Effective
54,I_031,8,6,0.571,0.397,26.695,80.234,0.786,0.76,0.298,4.328,0.683,0.54,Tier 2 – Moderately Effective
55,I_119,19,12,0.601,0.4,25.159,80.736,0.775,0.767,0.227,4.315,0.76,0.538,Tier 2 – Moderately Effective
56,I_108,21,15,0.62,0.371,29.163,78.69,0.744,0.782,0.288,4.177,0.705,0.538,Tier 2 – Moderately Effective
57,I_077,8,8,0.598,0.406,34.338,68.104,0.74,0.861,0.268,4.056,0.744,0.538,Tier 2 – Moderately Effective
58,I_060,17,14,0.67,0.341,28.674,72.662,0.754,0.72,0.266,4.329,0.703,0.537,Tier 2 – Moderately Effective
59,I_107,14,10,0.588,0.403,29.031,78.57,0.772,0.811,0.24,4.131,0.752,0.537,Tier 2 – Moderately Effective
60,I_071,11,10,0.621,0.338,27.17,73.057,0.769,0.699,0.277,4.173,0.81,0.522,Tier 2 – Moderately Effective
61,I_110,10,8,0.625,0.387,27.554,74.425,0.788,0.733,0.274,4.094,0.742,0.519,Tier 2 – Moderately Effective
62,I_011,11,10,0.597,0.418,30.141,72.956,0.723,0.757,0.263,4.183,0.797,0.516,Tier 2 – Moderately Effective
63,I_081,13,11,0.579,0.41,27.777,76.138,0.778,0.708,0.256,4.206,0.723,0.5,Tier 2 – Moderately Effective
64,I_106,11,9,0.591,0.398,27.069,81.276,0.772,0.772,0.244,4.114,0.667,0.499,Tier 2 – Moderately Effective
65,I_027,16,11,0.569,0.401,25.529,78.484,0.807,0.722,0.227,4.233,0.677,0.498,Tier 2 – Moderately Effective
66,I_072,16,14,0.61,0.4,28.888,78.52,0.757,0.725,0.251,4.106,0.7,0.493,Tier 2 – Moderately Effective
67,I_120,13,9,0.571,0.427,26.239,75.409,0.793,0.824,0.17,4.126,0.725,0.489,Tier 2 – Moderately Effective
68,I_026,23,17,0.595,0.415,26.43,78.364,0.741,0.76,0.263,4.101,0.737,0.487,Tier 2 – Moderately Effective
69,I_039,19,13,0.559,0.432,26.11,77.71,0.738,0.735,0.254,4.19,0.734,0.483,Tier 2 – Moderately Effective
70,I_001,25,16,0.544,0.471,26.641,78.9,0.767,0.727,0.241,4.218,0.695,0.48,Tier 2 – Moderately Effective
71,I_042,16,12,0.596,0.406,27.442,77.066,0.778,0.694,0.231,4.114,0.744,0.478,Tier 2 – Moderately Effective
72,I_064,15,11,0.564,0.422,28.691,74.333,0.712,0.746,0.243,4.158,0.747,0.472,Tier 2 – Moderately Effective
73,I_116,17,13,0.597,0.413,26.03,78.64,0.761,0.661,0.275,4.091,0.72,0.469,Tier 2 – Moderately Effective
74,I_029,20,14,0.523,0.477,26.09,75.254,0.754,0.804,0.258,4.205,0.689,0.469,Tier 2 – Moderately Effective
75,I_035,16,11,0.571,0.437,23.905,76.623,0.744,0.755,0.275,4.235,0.687,0.467,Tier 2 – Moderately Effective
76,I_065,12,11,0.571,0.417,23.866,78.775,0.751,0.677,0.3,4.162,0.683,0.467,Tier 2 – Moderately Effective
77,I_063,20,14,0.605,0.395,27.883,77.399,0.749,0.772,0.192,4.12,0.717,0.465,Tier 2 – Moderately Effective
78,I_046,12,10,0.599,0.402,28.904,77.349,0.746,0.736,0.242,3.987,0.744,0.464,Tier 2 – Moderately Effective
79,I_115,18,14,0.554,0.457,24.361,77.106,0.741,0.769,0.232,4.272,0.647,0.459,Tier 2 – Moderately Effective
80,I_047,21,18,0.561,0.434,24.912,74.198,0.752,0.77,0.216,4.085,0.766,0.456,Tier 2 – Moderately Effective
81,I_078,14,9,0.586,0.4,27.998,79.512,0.772,0.698,0.226,4.076,0.655,0.455,Tier 3 – Needs Improvement
82,I_012,20,15,0.575,0.427,24.522,80.169,0.711,0.752,0.239,4.151,0.742,0.455,Tier 3 – Needs Improvement
83,I_098,15,10,0.548,0.462,27.284,72.204,0.789,0.815,0.226,4.091,0.606,0.453,Tier 3 – Needs Improvement
84,I_041,8,7,0.599,0.432,26.047,80.373,0.802,0.652,0.215,4.187,0.663,0.449,Tier 3 – Needs Improvement
85,I_094,19,12,0.571,0.417,24.986,73.644,0.752,0.761,0.187,4.117,0.751,0.441,Tier 3 – Needs Improvement
86,I_022,11,10,0.542,0.44,24.521,76.053,0.754,0.728,0.248,4.107,0.715,0.439,Tier 3 – Needs Improvement
87,I_100,13,10,0.449,0.544,24.447,74.791,0.789,0.734,0.222,4.207,0.701,0.436,Tier 3 – Needs Improvement
88,I_020,13,12,0.575,0.405,26.212,75.526,0.743,0.768,0.212,4.052,0.699,0.435,Tier 3 – Needs Improvement
89,I_004,17,10,0.458,0.547,22.912,77.68,0.793,0.758,0.226,4.076,0.721,0.433,Tier 3 – Needs Improvement
90,I_032,19,15,0.471,0.539,23.889,75.942,0.8,0.727,0.235,4.094,0.752,0.43,Tier 3 – Needs Improvement
91,I_088,14,12,0.554,0.426,26.691,76.283,0.696,0.67,0.251,4.263,0.687,0.428,Tier 3 – Needs Improvement
92,I_104,19,14,0.527,0.471,23.524,78.101,0.758,0.757,0.245,4.078,0.684,0.424,Tier 3 – Needs Improvement
93,I_053,17,14,0.504,0.481,23.855,76.435,0.788,0.699,0.229,4.023,0.703,0.415,Tier 3 – Needs Improvement
94,I_059,20,13,0.486,0.505,26.076,75.901,0.742,0.751,0.209,4.134,0.71,0.414,Tier 3 – Needs Improvement
95,I_086,22,16,0.499,0.497,23.866,75.058,0.77,0.751,0.226,3.952,0.736,0.41,Tier 3 – Needs Improvement
96,I_028,11,9,0.502,0.491,24.57,72.4,0.786,0.71,0.273,3.963,0.698,0.406,Tier 3 – Needs Improvement
97,I_023,19,14,0.496,0.501,23.706,73.931,0.715,0.706,0.208,4.231,0.701,0.404,Tier 3 – Needs Improvement
98,I_052,16,10,0.525,0.482,26.074,74.186,0.717,0.725,0.217,4.125,0.693,0.398,Tier 3 – Needs Improvement
99,I_080,10,9,0.528,0.466,20.638,73.232,0.761,0.739,0.244,4.028,0.686,0.395,Tier 3 – Needs Improvement
100,I_068,10,10,0.491,0.481,26.138,72.19,0.753,0.646,0.224,4.097,0.688,0.381,Tier 3 – Needs Improvement
101,I_019,19,15,0.482,0.498,25.549,78.609,0.761,0.682,0.23,3.989,0.69,0.38,Tier 3 – Needs Improvement
102,I_112,13,11,0.411,0.588,23.703,76.639,0.786,0.745,0.189,4.129,0.659,0.379,Tier 3 – Needs Improvement
103,I_076,12,11,0.472,0.557,22.068,70.778,0.755,0.71,0.249,4.126,0.654,0.371,Tier 3 – Needs Improvement
104,I_089,19,11,0.481,0.514,23.876,73.158,0.754,0.656,0.229,4.106,0.655,0.361,Tier 3 – Needs Improvement
105,I_101,27,16,0.463,0.519,24.518,73.113,0.72,0.717,0.247,4.071,0.683,0.358,Tier 3 – Needs Improvement
106,I_095,17,13,0.424,0.542,23.16,71.932,0.687,0.69,0.281,4.189,0.682,0.349,Tier 3 – Needs Improvement
107,I_061,15,13,0.406,0.599,22.695,70.967,0.785,0.627,0.206,3.964,0.663,0.294,Tier 3 – Needs Improvement
108,I_006,15,13,0.412,0.577,21.931,71.985,0.716,0.671,0.21,4.065,0.637,0.291,Tier 3 – Needs Improvement
109,I_070,15,11,0.391,0.61,24.869,71.504,0.728,0.714,0.246,3.888,0.649,0.291,Tier 3 – Needs Improvement
110,I_038,20,15,0.395,0.6,23.137,68.997,0.728,0.71,0.19,3.961,0.679,0.282,Tier 3 – Needs Improvement
111,I_045,15,10,0.409,0.543,21.603,71.301,0.691,0.743,0.196,3.909,0.706,0.276,Tier 3 – Needs Improvement
112,I_073,13,10,0.394,0.584,25.132,69.999,0.711,0.687,0.17,3.981,0.676,0.275,Tier 3 – Needs Improvement
113,I_067,14,10,0.401,0.605,22.196,71.683,0.802,0.631,0.231,3.791,0.62,0.261,Tier 3 – Needs Improvement
114,I_083,10,7,0.424,0.575,25.343,66.658,0.701,0.559,0.201,4.017,0.709,0.254,Tier 3 – Needs Improvement
115,I_036,21,15,0.412,0.575,21.541,75.436,0.661,0.709,0.225,3.876,0.652,0.249,Tier 3 – Needs Improvement
116,I_074,17,12,0.39,0.613,21.997,69.14,0.734,0.714,0.167,3.998,0.595,0.245,Tier 3 – Needs Improvement
117,I_113,26,16,0.356,0.627,20.892,71.264,0.68,0.714,0.207,3.889,0.609,0.216,Tier 3 – Needs Improvement
118,I_050,12,8,0.335,0.661,21.328,67.245,0.702,0.64,0.161,3.737,0.643,0.154,Tier 3 – Needs Improvement
119,I_075,19,14,0.313,0.664,19.764,65.317,0.655,0.676,0.127,3.835,0.618,0.128,Tier 3 – Needs Improvement
120,I_044,15,12,0.334,0.618,18.793,62.636,0.658,0.589,0.235,3.733,0.59,0.109,Tier 3 – Needs Improvement
